date,white_1,white_2,white_3,white_4,white_5,powerball
"Wednesday, 8/28/24",5,33,47,50,64,20
"Monday, 8/26/24",2,4,23,68,69,15
"Saturday, 8/24/24",5,15,21,24,43,17
"Wednesday, 8/21/24",27,31,33,38,67,3
"Monday, 8/19/24",1,2,15,23,28,10
"Saturday, 8/17/24",12,31,43,45,46,22
"Wednesday, 8/14/24",8,9,23,29,62,13
"Monday, 8/12/24",9,22,57,67,68,14
"Saturday, 8/10/24",9,24,33,64,69,9
"Wednesday, 8/7/24",6,19,35,47,57,9
"Monday, 8/5/24",29,42,44,51,54,12
"Saturday, 8/3/24",13,33,40,60,61,20
"Wednesday, 7/31/24",23,34,37,50,58,7
"Monday, 7/29/24",11,27,30,33,44,16
"Saturday, 7/27/24",3,31,37,40,64,17
"Wednesday, 7/24/24",16,42,59,63,68,13
"Monday, 7/22/24",31,36,56,58,69,20
"Saturday, 7/20/24",18,25,31,40,57,4
"Wednesday, 7/17/24",24,27,32,47,66,26
"Monday, 7/15/24",9,31,39,40,45,23
"Saturday, 7/13/24",9,55,59,66,69,21
"Wednesday, 7/10/24",7,11,12,27,46,26
"Monday, 7/8/24",20,22,31,33,45,1
"Saturday, 7/6/24",5,32,35,39,49,21
"Wednesday, 7/3/24",2,26,33,55,57,22
"Monday, 7/1/24",5,9,32,39,55,9
"Saturday, 6/29/24",26,51,54,61,69,25
"Wednesday, 6/26/24",4,9,36,47,56,7
"Monday, 6/24/24",5,6,36,53,69,8
"Saturday, 6/22/24",4,5,15,32,62,21
"Wednesday, 6/19/24",4,27,44,50,64,7
"Monday, 6/17/24",30,48,53,58,66,9
"Saturday, 6/15/24",4,36,48,54,56,2
"Wednesday, 6/12/24",19,30,31,61,62,21
"Monday, 6/10/24",3,10,33,58,59,9
"Saturday, 6/8/24",8,38,52,54,64,15
"Wednesday, 6/5/24",8,44,45,51,69,12
"Monday, 6/3/24",19,29,35,36,45,16
"Saturday, 6/1/24",28,38,52,54,68,8
"Wednesday, 5/29/24",17,34,56,60,61,9
"Monday, 5/27/24",9,30,39,49,59,21
"Saturday, 5/25/24",6,33,35,36,64,24
"Wednesday, 5/22/24",5,16,18,26,67,4
"Monday, 5/20/24",1,7,48,64,68,5
"Saturday, 5/18/24",19,36,37,42,59,19
"Wednesday, 5/15/24",19,42,45,55,69,6
"Monday, 5/13/24",5,14,29,38,66,1
"Saturday, 5/11/24",3,6,39,49,67,21
"Wednesday, 5/8/24",7,41,43,44,51,5
"Monday, 5/6/24",7,23,24,56,60,25
